ITEM_ID,TITLE
1577131,大家学德语
1390864,而立·24
745479,"希特勒:一个 ""畸形"" 男人的荒淫、残暴、霸道的一生.上"
748533,永远的哥哥国荣
1032638,素数的音乐
1399524,大学生数学竞赛复习指导
1560520,"商业模式新生代,团队篇:see how your organization really works and how each person fits in"
1401809,ARM Cortex-M3体系结构与编程
1281164,图像加密算法与实践:基于C#语言实现
1571168,机械原理MATLAB辅助分析.第2版
1066408,ANSYS机械工程应用精华30例.第2版
777070,平凡的世界.第三部
1306942,余华中短篇小说
1170352,新托福全真题高分作文.第6版
1381660,新维生素圣经
1009118,新托福满分作文:经典900句:[英汉对照]
1255703,高分新托福写作120.第2版
1542639,28天搞定托福长难句
1373616,新托福长难句白金课堂.第2版
1575767,托福写作真题范文精练120
1103674,怎样让新托福写作的语言更美国.词，句，段，篇
1073682,十天突破新托福ESSAYS
1431669,120分托福词汇黄金胜经
1438387,新托福TPO阅读词汇笔记
1204646,新托福iBT词汇分类突破
1354298,超级酵素:食物&果汁
876559,维生素可以治万病.第3版
1256095,动物庄园:插图珍藏版
1365307,透视如此简单:20步掌握透视基本原理
1464064,画家之眼
1532451,"路米斯经典美术课,头手素描,= Drawing the head and hands"
1037616,多目标智能优化算法及其应用
789036,MATLAB有限元分析与应用
575384,热传导.第1版
1572076,国民经济核算原理与中国实践:princioles and china's practice.第4版
1548287,斯米尔诺夫高等数学
1578669,薛兆丰经济学讲义:来自超过25万人的经济学课堂
847045,张爱玲精选集
1542536,社交媒体:原理与应用
1365018,计算流体力学基础与STAR-CD工程应用
1397009,ANSYS Fluent流体数值计算方法与实例
1226273,FLUENT基础入门与案例精通
1036151,"返老还童, 又名, 本杰明·巴顿奇事.中英双语插图本"
1365017,计算流体力学基础与STAR-CD工程应用
1036152,"返老还童, 又名, 本杰明·巴顿奇事.中英双语插图本"
1120873,调查问卷的设计与评估:design and evaluation
1573845,结构方程模型的原理与应用.第2版
1070107,C++面向对象程序设计教程 (第三版) 习题解答与上机指导
1489596,C++从入门到精通.第3版
1400363,新型神经网络及其英文SCI论文评审论辩
1584149,"RBF神经网络自适应控制及MATLAB仿真:design, analysis and MATLAB simulation.第2版"
1576961,神经·模糊·预测控制及其MATLAB实现.第4版
1131297,AutoCAD 2010机械制图
1154325,AutoCAD机械制图基础教程:2010版
1485174,材料性能学.第2版
873134,材料力学性能
1425907,工程材料力学性能.第3版
1287753,食品工程原理复习指南暨习题解析
1563291,金评梅词话
1049032,大江东去:1995-1998
645111,经济学原理.上册
1095319,口译理论与实践教程
1461886,意识形态与乌托邦
1075728,生物质能利用技术
1406181,风能及其利用
1483157,粒子群算法及其应用研究
1340702,人工蜂群算法及其应用
1416336,半生缘
1552339,材料近代分析测试方法.第5版
1146048,环境科学概论.第2版
1337241,零售的哲学:7-Eleven便利店创始人自述
1525596,软材料表面失稳力学
841105,兄弟
1049061,中国热:世界的下一个超级大国
1223206,寻味:汪曾祺谈吃
1039804,人莫予毒.第2版
1356597,窄门
1257335,和青年谈马克思主义
1389730,日本动漫角色与角色消费研究
1430131,管饱10年的漫画家入门
1453019,漫画创作法
1464063,画家之眼
389242,齿轮啮合原理
842848,泛函分析入门
933574,分子模拟的理论与实践
1377820,投资学:珍藏版
842366,货币金融学
1253088,风险管理与金融机构
1520162,货币银行学
1404200,全媒体VOA标准新闻英语微课堂
1591420,小夜曲:音乐与黄昏五故事集:five stories of music and nightfall:双语版
1348013,工程数学:数学物理方程与特殊函数 (第四版)学习指南与习题解答
1101534,弹性力学学习指导与解题指南
1203518,单词达人:形象记忆法速背六级词汇
1476832,创业第一年要考虑的16件事
1597034,创业投资与融资
1203517,单词达人:形象记忆法速背六级词汇
1278697,后来
794178,慢慢微笑:毛尖自选集
1384098,大学语文.第3版
